classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gNB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,0.964,0.967,0.964,0.964,1.0,1.0,1.0,1.0
LDA,0.928,0.928,0.928,0.929,0.875,0.9,0.873,0.875
mNB,0.964,0.967,0.964,0.964,1.0,1.0,1.0,1.0
ABC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENS-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENS-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
